Ville,Titre,Lien,Description,Prix,Détails
nantes,Maison - 6 pièce(s) - 120 m²,https://www.paruvendu.fr/immobilier/vente/maison/1284858683A1KIVHMN000,"Nantes erdre st joseph de porterie opportunité réseau l'adresse  creez votre projet! située dans un quartier verdoyant à proximité de l'erdre, cette maison ancienne à rénover vous inspire pour un projet personnalisé! une réelle surface de...",262 200 €2 185 € / m2,"6 pièces, 3
chambres, Terrain 518 m2, DPE :G513kWh/m².an17kg CO2/m².an"
nantes,Maison - 6 pièce(s) - 106 m²,https://www.paruvendu.fr/immobilier/vente/maison/1284360872A1KIVHMN000,"Nantes erdre - saint joseph de porterie  une nouveautÉ l'adresse   découvrez cette charmante maison des années 80, nichée dans un quartier résidentiel, à deux pas de toutes les commodités (écoles, commerces, transports). entretenue et idéale pour...",345 000 €3 255 € / m2,"6 pièces, 4
chambres, DPE :D188kWh/m².an38kg CO2/m².an"
nantes,Maison - 6 pièce(s) - 115 m²,https://www.paruvendu.fr/immobilier/vente/maison/1286181047A1KIVHMN000,"Nantes erdre  saint-joseph de porterie  une exclusivité l' adresse  bien plus qu'un achat immobilier, un véritable art de vivre ! rejoignez un ensemble d'habitats participatifs où convivialité, partage et respect de l'environnement s'harmonisent...",448 600 €3 901 € / m2,"6 pièces, 4
chambres, DPE :A55kWh/m².an1kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 73 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1282881647A1KIVHAP000,"Nantes erdre - bourgeonniÈre   un emplacement stratégique ! situé à seulement une minute à pied du tramway ligne 2 et à proximité immédiate des bus (c2, 50, 75, 96), des commerces, services et écoles, ce bien bénéficie d'un environnement parfait...",195 250 €2 675 € / m2,"3 pièces, 2
chambres, Ascenseur, DPE :C145kWh/m².an4kg CO2/m².an"
nantes,Maison - 5 pièce(s) - 110 m²,https://www.paruvendu.fr/immobilier/vente/maison/1283226677A1KIVHMN000,"Nantes erdre - saint-joseph de porterie - port des charrettes   qualité de vie assurée pour cette maison familiale d'une surface de 122 m² au sol, à deux pas des bords de l'erdre dans le site calme du port des charrettes. cadre reposant avec les...",397 000 €3 609 € / m2,"5 pièces, 3
chambres, Terrain 390 m2, DPE :D230kWh/m².an8kg CO2/m².an"
nantes,Appartement - 32 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1285099316A1KIVHAP000,"Nantes erdre - boulevard jules verne nouveauté et exclusivité l'adresse  secteur prisé boulevard jules verne / marsauderies / blanche de castille.  travaux de rénovation à prévoir . idéal pour un premier achat, un investissement locatif ou un...",96 800 €3 025 € / m2,"Ascenseur, DPE :E331kWh/m².an10kg CO2/m².an"
nantes,Maison - 4 pièce(s) - 81 m²,https://www.paruvendu.fr/immobilier/vente/maison/1282031257A1KIVHMN000,"Nantes erdre la beaujoire   a proximité immédiate tram, commerces, erdre c'est une situation stratégique pour cette agréable maison de plus de 80 m².  vous est proposé un agréable et lumineux salon séjour traversant ouvrable sur une superbe...",349 900 €4 320 € / m2,"4 pièces, 3
chambres, Terrain 289 m2, DPE :D207kWh/m².an41kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 66 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1278691863A1KIVHAP000,"ExclusivitÉ - nantes erdre st joseph de porterie - derniÈres opportunitÉs   une vie privilégiée dans une résidence architecturalement personnalisée qui profite à 16 logements uniquement.  hautes valeurs ajoutées : exceptionnellement hors zac, les...",318 414 €4 824 € / m2,"3 pièces, 2
chambres, Ascenseur, Balcon, DPE :C62kWh/m².an12kg CO2/m².an"
nantes,Appartement - 2 pièce(s) - 48 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1278691862A1KIVHAP000,"ExclusivitÉ - nantes erdre st joseph de porterie - derniÈres opportunitÉs   une vie privilégiée dans une résidence architecturalement personnalisée qui profite à 16 logements uniquement.  hautes valeurs ajoutées : exceptionnellement hors zac, les...",270 730 €5 640 € / m2,"2 pièces, 1
chambre, Ascenseur, Balcon, DPE :C62kWh/m².an12kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 60 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1282881622A1KIVHAP000,Une nouvelle exclusivitÉ -  l'adresse l'atelier immobilier  nantes erdre - saint-joseph de porterie   bail en cours - locataires en place !  vous est proposé ce superbe type 3 au pied des transports en commun et à quelques minutes du bourg de...,190 100 €3 168 € / m2,"3 pièces, 2
chambres, Balcon, DPE :C103kWh/m².an20kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 62 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1278691860A1KIVHAP000,"ExclusivitÉ - nantes erdre st joseph de porterie - derniÈres opportunitÉs   une vie privilégiée dans une résidence architecturalement personnalisée qui profite à 16 logements uniquement.  hautes valeurs ajoutées : exceptionnellement hors zac, les...",307 505 €4 960 € / m2,"3 pièces, 2
chambres, Ascenseur, Balcon, DPE :C62kWh/m².an12kg CO2/m².an"
nantes,Appartement - 2 pièce(s) - 42 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1280912085A1KIVHAP000,"Nantes erdre - saint joseph de porterie   au sein d'une résidence récente, ce t2 en rez-de-jardin avec entrée indépendante comprenant un salon séjour ensoleillé exposé sud-ouest prolongé d'une cuisine semi ouverte (plaque de cuisson,...",149 900 €3 569 € / m2,"2 pièces, 1
chambre, DPE :D204kWh/m².an6kg CO2/m².an"
nantes,Appartement - 2 pièce(s) - 41 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1278691859A1KIVHAP000,"ExclusivitÉ - nantes erdre st joseph de porterie - derniÈres opportunitÉs   une vie privilégiée dans une résidence architecturalement personnalisée qui profite à 16 logements uniquement.  hautes valeurs ajoutées : exceptionnellement hors zac, les...",218 864 €5 338 € / m2,"2 pièces, 1
chambre, Ascenseur, Balcon, DPE :C62kWh/m².an12kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 67 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1285972729A1KIVHAP000,"Investissement locatif ! situation hyper centre, rue jean jacques rousseau, pour cet appartement de 67 m² au 4ème et dernier étage et comprenant trois logements indissociables.    un t1 de 23.45m² loué, un studio de 19.75m² loué et et une chambre...",179 990 €2 686 € / m2,"3 pièces, 3
chambres, DPE :E301kWh/m².an16kg CO2/m².an"
nantes,Appartement - 5 pièce(s) - 107 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286830950A1KIVHAP000,"Situé à deux pas de la gare et du dynamisme du centre-ville, cet appartement de 106m² séduit par sa luminosité et ses beaux volumes.  au sein d'un immeuble bien entretenu, ce bien traversant profite d'une exposition sud-ouest offrant une lumière...",286 200 €2 675 € / m2,"5 pièces, 3
chambres, DPE :E234kWh/m².an51kg CO2/m².an"
nantes,Maison - 6 pièce(s) - 140 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286660623A1KIVHMN000,"Située au coeur du très recherché quartier saint-pasquier, cette maison rénovée conjugue avec subtilité le charme authentique de l'ancien et la modernité d'espaces largement ouverts sur le jardin.   la pièce de vie, baignée de lumière grâce à une...",799 000 €5 707 € / m2,"6 pièces, 4
chambres, Terrain 246 m2, DPE :D173kWh/m².an35kg CO2/m².an"
nantes,Appartement - 2 pièce(s) - 46 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286805221A1KIVHAP000,"ExclusivitÉ l'adresse -  idéal investissement / location courte durée - quartier gare sud / marcel-saupin  a deux pas de la gare sud, du stade marcel-saupin, des transports et de toutes les commodités, découvrez cet appartement d'environ 45m²,...",155 520 €3 381 € / m2,"2 pièces, 1
chambre, DPE :G539kWh/m².an17kg CO2/m².an"
nantes,Appartement - 2 pièce(s) - 30 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286805220A1KIVHAP000,"ExclusivitÉ l'adresse -  idéal investissement / location courte durée - quartier gare sud / marcel-saupin  a deux pas de la gare sud, du stade marcel-saupin, des transports et de toutes les commodités, découvrez cet appartement d'environ 30 m²,...",104 640 €3 488 € / m2,"2 pièces, 1
chambre, DPE :G459kWh/m².an15kg CO2/m².an"
nantes,Maison - 10 pièce(s) - 254 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286310248A1KIVHMN000,"L'agence l'adresse vous invite, dans le quartier prisé sainte-thérèse / américains, à découvrir cette superbe maison bourgeoise de 253 m2, entièrement rénovée, de 10 pièces avec ses 6 chambres, son garage de 53 m2, sa double terrasse et son très...",1 140 000 €4 488 € / m2,"10 pièces, 6
chambres, Terrain 685 m2, DPE :D196kWh/m².an36kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 77 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286158998A1KIVHAP000,"A proximité immédiate de la butte sainte-anne, cet appartement lumineux bénéficie d'un environnement verdoyant et paisible au sein d'une petite copropriété soigneusement entretenue.  situé au 1er étage, il offre une triple exposition qui inonde...",249 950 €3 246 € / m2,"3 pièces, 2
chambres, Balcon, DPE :C113kWh/m².an21kg CO2/m².an"
nantes,Appartement - 1 pièce(s) - 23 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286574838A1KIVHAP000,"ExclusivitÉ l'adresse ! dans une rue calme à deux pas du marché de talensac, venez découvrir ce t1 en duplex en parfait état situé au 3ème d'une copropriété vivante et bien entretenue.  au premier niveau, on trouve une entrée et un espace cuisine,...",124 200 €5 400 € / m2,"Studio - 1 pièce, 1
chambre, DPE :D266kWh/m².an8kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 63 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286014287A1KIVHAP000,"Bellevue : square des rochelets  vous y trouverez un t3  a renover de 63m² spacieux, lumineux avec vue dégagée, comprenant une cuisine indépendante, un salon/séjour sur parquet, deux chambres dont une avec placard, et une salle d'eau avec wc...",98 100 €1 557 € / m2,"3 pièces, 2
chambres, Garage, DPE :D242kWh/m².an30kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 82 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286265403A1KIVHAP000,"A vendre - appartement lumineux et en parfait état  avenue des coucous   situé dans une impasse privée et au calme, découvrez ce bel appartement traversant à quadruple exposition, offrant une luminosité exceptionnelle tout au long de la journée....",270 300 €3 296 € / m2,"3 pièces, 2
chambres, Garage, Balcon, DPE :C118kWh/m².an25kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 60 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1285904516A1KIVHAP000,"Nantes centre-ville -  a 300 m du marché de talensac et des bords de l'erdre...  maison en copropriété, située en second rideau, au calme absolu. cette charmante maison de ville, soigneusement entretenue saura vous séduire par son caractère...",286 200 €4 770 € / m2,"3 pièces, 2
chambres, DPE :F360kWh/m².an50kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 71 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1285972712A1KIVHAP000,"L'adresse nantes talensac vous propose ce t3/t4 de 71m² à rénover au coeur du centre historique.  situé au 3ème étage d'un immeuble ancien ravalé, il se compose d'un vaste séjour lumineux avec sa cuisine ouverte et aménagée, de deux chambres, d'un...",241 500 €3 401 € / m2,"3 pièces, 2
chambres, DPE :F386kWh/m².an81kg CO2/m².an"
nantes,Appartement - 6 pièce(s),https://www.paruvendu.fr/immobilier/vente/appartement/1285972714A1KIVHAP000,"Nantes - américains - appartement familial esprit art déco   seul sur son palier, dans une copropriété de 3 logements sécurisée et très bien entretenue on y trouve un appartement typique des années 50 aux lignes sobres et élégantes avec de vastes...",517 000 €,"6 pièces, 4
chambres, DPE :E244kWh/m².an61kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 61 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1285972727A1KIVHAP000,"Nantes -  bienvenue dans cet ensemble immobilier situé à nantes, place rosa parks. niché au 6ème étage d'une résidence sécurisée et moderne construite en 2014, cet appartement de type 3 incarne le mariage parfait entre le confort contemporain et...",159 000 €2 607 € / m2,"3 pièces, 2
chambres, Garage, Ascenseur, Balcon, DPE :B76kWh/m².an8kg CO2/m².an"
nantes,Appartement - 2 pièce(s) - 39 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1285741481A1KIVHAP000,"A proximité de l'erdre, venez découvrir cet appartement type 2 idéalement situé au troisième étage avec ascenseur d'une copropriété de 1993.   proche de toutes les commodités, ce bien dispose : d'une entrée avec placard donnant accès à une chambre...",180 000 €4 615 € / m2,"2 pièces, 1
chambre, Ascenseur, Balcon, DPE :C102kWh/m².an17kg CO2/m².an"
nantes,Appartement - 4 pièce(s) - 105 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286265389A1KIVHAP000,"Situé au 1er étage d'un immeuble des années 30 avec ascenseur, cet appartement traversant de 105 m² vous accueille en plein coeur de nantes, entre les quartiers bellamy, bel air et talensac.  découvrez ce bien emprunt du charme de l'ancien, qui...",409 500 €3 900 € / m2,"4 pièces, 2
chambres, Garage, Ascenseur, Balcon, DPE :D225kWh/m².an49kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 61 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286881059A1KIVHAP000,"Nantes - quartier malakoff  dominant la ville depuis le 9e étage d'une résidence sécurisée de 2015, cet appartement traversant de 61 m² séduit par sa luminosité et sa vue imprenable sur la petite amazonie.  l'espace de vie ouvert s'articule autour...",169 600 €2 780 € / m2,"3 pièces, 2
chambres, Ascenseur, Balcon, DPE :C140kWh/m².an4kg CO2/m².an"
nantes,Appartement - 1 pièce(s) - 21 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1285972691A1KIVHAP000,"Secteur prisé du coeur de ville, plus précisément  place de la monnaie, ce charmant studio ancien de 21m2.  il se compose d'un coin nuit, d'un espace cuisine aménagé, et d'une salle de douche . un local à vélos est disponible dans la copropriété....",108 000 €5 143 € / m2,"Studio - 1 pièce, DPE :E335kWh/m².an10kg CO2/m².an"
nantes,Appartement - 1 pièce(s) - 31 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1285972699A1KIVHAP000,"Nantes - coeur de ville - appartement t2 à vendre secteur rue saint léonard, côté hôtel de ville.  niché au 4ème étage d'un immeuble bien tenu, cet appartement ensoleillé dispose d'une entrée donnant sur la chambre, d'une pièce de vie avec cuisine...",118 800 €3 832 € / m2,"Studio - 1 pièce, 1
chambre, DPE :G800kWh/m².an20kg CO2/m².an"
nantes,Appartement - 3 pièce(s) - 75 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1284738084A1KIVHAP000,"Maison en impasse privée - nantes  situé proche des commerces du rond-point de rennes tout en étant au calme d'une petite impasse, cette maison de 75 m² habitables sur une parcelle de 126 m² avec jardin exposé sud-est se compose d'un séjour avec...",229 000 €3 053 € / m2,"3 pièces, 2
chambres, Terrain 126 m2, DPE :E323kWh/m².an69kg CO2/m².an"
nantes,Appartement - 2 pièce(s) - 56 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1285658911A1KIVHAP000,"Nantes schuman / cens  idéalement situé à proximité immédiate de toutes les commodités : commerces, transports, écoles, professionnels de santé ; ainsi que des verdoyants vallée du cens et parc de la gaudinière.   ce spacieux appartement de type 2...",149 999 €2 679 € / m2,"2 pièces, 1
chambre, Garage, Ascenseur, Balcon, DPE :D173kWh/m².an33kg CO2/m².an"
